"Início dos relatórios","Término dos relatórios","Nome do anúncio","Veiculação do anúncio","Nome da campanha","Nome do conjunto de anúncios","Valor usado (BRL)",Leads,"Custo por lead (BRL)","Cliques no link",Impressões,"CPM (custo por 1.000 impressões) (BRL)",ThruPlays,"CPC (custo por clique no link) (BRL)","Custo por resultados","Indicador de resultados","Valor de conversão de leads","Visualizações da página de destino do site","Custo por visualização da página de destino (BRL)","Seguidores no Instagram"
2026-03-20,2026-03-20,"META - TRAFEGO - INT FRIO - EVENTO POA - 2026",inactive,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - INT FRIO - EVENTO POA - 2026",22.67,,,95,1696,13.366745,89,0.238632,0.31929577,actions:omni_landing_page_view,,71,0.319296,0
2026-03-19,2026-03-19,"META - TRAFEGO - INT FRIO - EVENTO POA - 2026 -  VIDEO LANCAMENTO",active,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - INT FRIO - EVENTO POA - 2026",0.02,,,,1,20,,,,,,,,0
2026-03-19,2026-03-19,"META - TRAFEGO - INT FRIO - EVENTO POA - 2026",inactive,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - INT FRIO - EVENTO POA - 2026",96.06,5,19.212,478,8286,11.593049,432,0.200962,0.28336283,actions:omni_landing_page_view,,339,0.283363,0
2026-03-18,2026-03-18,"META - TRAFEGO - INT FRIO - EVENTO POA - 2026",inactive,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - INT FRIO - EVENTO POA - 2026",101.89,,,509,8259,12.336845,437,0.200177,0.27243316,actions:omni_landing_page_view,,374,0.272433,0
2026-03-17,2026-03-17,"META - TRAFEGO - INT FRIO - EVENTO POA - 2026",inactive,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - INT FRIO - EVENTO POA - 2026",100.52,,,509,8427,11.928326,500,0.197485,0.2709434,actions:omni_landing_page_view,,371,0.270943,0
2026-03-16,2026-03-16,"META - TRAFEGO - INT FRIO - EVENTO POA - 2026 -  VIDEO LANCAMENTO",active,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - INT FRIO - EVENTO POA - 2026",0,,,,2,0,,,,,,,,0
2026-03-16,2026-03-16,"META - TRAFEGO - INT FRIO - EVENTO POA - 2026",inactive,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - INT FRIO - EVENTO POA - 2026",83.68,,,433,8034,10.415733,421,0.193256,0.27986622,actions:omni_landing_page_view,,299,0.279866,0
2026-03-15,2026-03-15,"META - TRAFEGO - INT FRIO - EVENTO POA - 2026",inactive,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - INT FRIO - EVENTO POA - 2026",109.27,,,545,9682,11.285891,563,0.200495,0.28907407,actions:omni_landing_page_view,,378,0.289074,0
2026-03-14,2026-03-14,"META - TRAFEGO - INT FRIO - EVENTO POA - 2026 -  VIDEO LANCAMENTO",active,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - INT FRIO - EVENTO POA - 2026",0.01,,,,3,3.333333,,,,,,,,0
2026-03-14,2026-03-14,"META - TRAFEGO - INT FRIO - EVENTO POA - 2026",inactive,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - INT FRIO - EVENTO POA - 2026",97.18,,,484,7905,12.293485,447,0.200785,0.28498534,actions:omni_landing_page_view,,341,0.284985,0
2026-03-13,2026-03-13,"META - TRAFEGO - INT FRIO - EVENTO POA - 2026",inactive,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - INT FRIO - EVENTO POA - 2026",94.32,,,463,8629,10.930583,449,0.203715,0.27260116,actions:omni_landing_page_view,,346,0.272601,0
2026-03-12,2026-03-12,"META - TRAFEGO - INT FRIO - EVENTO POA - 2026",inactive,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - INT FRIO - EVENTO POA - 2026",96.51,,,478,9715,9.934122,514,0.201904,0.27893064,actions:omni_landing_page_view,,346,0.278931,0
2026-03-11,2026-03-11,"META - TRAFEGO - INT FRIO - EVENTO POA - 2026 -  VIDEO LANCAMENTO",active,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - INT FRIO - EVENTO POA - 2026",0.03,,,,7,4.285714,,,,,,,,0
2026-03-11,2026-03-11,"META - TRAFEGO - INT FRIO - EVENTO POA - 2026",inactive,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - INT FRIO - EVENTO POA - 2026",93.51,,,451,9921,9.425461,563,0.207339,0.2859633,actions:omni_landing_page_view,,327,0.285963,0
2026-03-10,2026-03-10,"META - TRAFEGO - INT FRIO - EVENTO POA - 2026 -  VIDEO LANCAMENTO",active,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - INT FRIO - EVENTO POA - 2026",0,,,,1,0,,,,,,,,0
2026-03-10,2026-03-10,"META - TRAFEGO - LAL - EVENTO POA - 2026 -  VIDEO LANCAMENTO",not_delivering,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - LAL - EVENTO POA - 2026",0,,,,1,0,,,,,,,,0
2026-03-10,2026-03-10,"META - TRAFEGO - INT FRIO - EVENTO POA - 2026",inactive,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - INT FRIO - EVENTO POA - 2026",103.69,,,543,12993,7.980451,734,0.190958,0.2929096,actions:omni_landing_page_view,,354,0.29291,0
2026-03-09,2026-03-09,"META - TRAFEGO - LAL - EVENTO POA - 2026",inactive,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - LAL - EVENTO POA - 2026",0.01,,,,3,3.333333,,,,,,,,0
2026-03-09,2026-03-09,"META - TRAFEGO - INT FRIO - EVENTO POA - 2026",inactive,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - INT FRIO - EVENTO POA - 2026",98.5,,,553,12887,7.643362,647,0.178119,0.26478495,actions:omni_landing_page_view,,372,0.264785,0
2026-03-08,2026-03-08,"META - TRAFEGO - LAL - EVENTO POA - 2026",inactive,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - LAL - EVENTO POA - 2026",0.48,,,3,51,9.411765,,0.16,0.16,actions:omni_landing_page_view,,3,0.16,0
2026-03-08,2026-03-08,"META - TRAFEGO - INT FRIO - EVENTO POA - 2026",inactive,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - INT FRIO - EVENTO POA - 2026",114.22,,,630,15572,7.33496,800,0.181302,0.25552573,actions:omni_landing_page_view,,447,0.255526,0
2026-03-07,2026-03-07,"META - TRAFEGO - LAL - EVENTO POA - 2026",inactive,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - LAL - EVENTO POA - 2026",1.05,,,5,137,7.664234,5,0.21,0.35,actions:omni_landing_page_view,,3,0.35,0
2026-03-07,2026-03-07,"META - TRAFEGO - INT FRIO - EVENTO POA - 2026",inactive,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - INT FRIO - EVENTO POA - 2026",94.31,,,507,13322,7.079267,761,0.186016,0.27022923,actions:omni_landing_page_view,,349,0.270229,0
2026-03-06,2026-03-06,"META - TRAFEGO - LAL - EVENTO POA - 2026",inactive,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - LAL - EVENTO POA - 2026",1.68,,,7,200,8.4,11,0.24,0.42,actions:omni_landing_page_view,,4,0.42,0
2026-03-06,2026-03-06,"META - TRAFEGO - INT FRIO - EVENTO POA - 2026",inactive,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - INT FRIO - EVENTO POA - 2026",93.56,,,490,13841,6.759627,878,0.190939,0.29987179,actions:omni_landing_page_view,,312,0.299872,0
2026-03-05,2026-03-05,"META - TRAFEGO - LAL - EVENTO POA - 2026",inactive,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - LAL - EVENTO POA - 2026",0.32,,,,33,9.69697,3,,,,,,,0
2026-03-05,2026-03-05,"META - TRAFEGO - INT FRIO - EVENTO POA - 2026",inactive,"META - TRAFEGO - EVENTO POA - 2026","META - TRAFEGO - INT FRIO - EVENTO POA - 2026",39.73,,,148,4903,8.103202,458,0.268446,0.4786747,actions:omni_landing_page_view,,83,0.478675,0
